pokedex_id,latitude,longitude,local_time,close_to_water,city,weather,temperature,population_density,google_types
2899,21,43.752123,-79.260047,2016-09-03T23:08:44,True,Toronto,Clear,19.4,3249.4587,"['cafe', 'store', 'restaurant', 'supermarket', 'grocery_or_supermarket']"
2900,29,43.500440000000005,-79.65016700000001,2016-09-03T22:35:37,True,Toronto,Clear,21.2,2521.0115,"['painter', 'restaurant', 'transit_station', 'meal_takeaway', 'meal_delivery']"
2901,96,43.501709999999996,-79.648588,2016-09-03T22:31:51,True,Toronto,Clear,21.2,2521.0115,"['transit_station', 'store', 'plumber', 'home_goods_store']"
2902,32,43.501955,-79.64964,2016-09-03T22:29:06,True,Toronto,Clear,21.2,2521.0115,['transit_station']
2903,41,43.501329999999996,-79.6485,2016-09-03T22:26:23,True,Toronto,Clear,21.2,2521.0115,"['store', 'plumber', 'home_goods_store']"
2904,10,43.500217,-79.65016700000001,2016-09-03T22:23:23,True,Toronto,Clear,21.2,2521.0115,"['painter', 'restaurant', 'store', 'transit_station', 'bank', 'atm', 'meal_takeaway', 'convenience_store', 'meal_delivery']"
2905,11,43.718084000000005,-79.305491,2016-09-03T22:04:32,True,Toronto,Clear,21.3,4039.2358,"['car_repair', 'church', 'night_club', 'bar', 'car_wash', 'restaurant', 'store']"
2906,10,43.718981,-79.30557900000001,2016-09-03T22:02:08,True,Toronto,Clear,21.3,4039.2358,"['car_repair', 'church', 'store', 'home_goods_store', 'transit_station', 'storage', 'gas_station']"
2907,41,43.719482,-79.30461,2016-09-03T22:00:04,True,Toronto,Clear,21.3,4039.2358,"['car_repair', 'store', 'restaurant', 'home_goods_store', 'transit_station', 'laundry', 'electronics_store', 'meal_takeaway', 'gas_station']"
2908,96,43.720971,-79.304698,2016-09-03T21:54:41,True,Toronto,Clear,21.4,4039.2358,"['transit_station', 'insurance_agency', 'real_estate_agency']"
2909,90,43.719671000000005,-79.30505,2016-09-03T21:50:37,True,Toronto,Clear,21.4,4039.2358,"['transit_station', 'car_repair', 'gas_station']"
2910,19,43.717911,-79.305227,2016-09-03T21:50:37,True,Toronto,Clear,21.4,4039.2358,"['car_repair', 'church', 'night_club', 'bar', 'car_wash', 'store', 'restaurant']"
2911,128,43.706184,-79.396399,2016-09-03T21:14:12,True,Toronto,Clear,21.3,4039.2358,"['school', 'lawyer', 'secondary_school', 'car_wash', 'restaurant', 'physiotherapist']"
2912,96,43.705863,-79.396927,2016-09-03T21:11:31,True,Toronto,Clear,21.3,4039.2358,"['lawyer', 'bar', 'hair_care', 'beauty_salon', 'restaurant', 'atm', 'physiotherapist', 'doctor']"
2913,96,43.705493,-79.396927,2016-09-03T21:03:32,True,Toronto,Clear,21.3,4039.2358,"['lawyer', 'bar', 'restaurant', 'atm', 'physiotherapist', 'doctor']"
2914,10,43.718551,-79.30337800000001,2016-09-03T19:23:23,True,Toronto,Clear,22.3,4039.2358,"['restaurant', 'store', 'park', 'transit_station', 'supermarket', 'laundry', 'grocery_or_supermarket', 'atm', 'meal_takeaway']"
2915,19,43.717969000000004,-79.30584300000001,2016-09-03T19:22:19,True,Toronto,Clear,22.3,4039.2358,"['car_repair', 'church', 'night_club', 'bar', 'car_wash', 'restaurant', 'store']"
2916,19,43.719202,-79.304786,2016-09-03T19:22:06,True,Toronto,Clear,22.3,4039.2358,"['car_repair', 'restaurant', 'store', 'home_goods_store', 'transit_station', 'supermarket', 'laundry', 'grocery_or_supermarket', 'atm', 'meal_takeaway', 'gas_station']"
2917,96,43.720620000000004,-79.308044,2016-09-03T19:18:16,True,Toronto,Clear,22.3,4039.2358,"['mosque', 'store', 'storage']"
2918,96,43.718042,-79.30425799999999,2016-09-03T19:18:15,True,Toronto,Clear,22.3,4039.2358,"['car_repair', 'car_wash', 'restaurant', 'store', 'home_goods_store', 'transit_station', 'park', 'supermarket', 'grocery_or_supermarket', 'atm', 'meal_takeaway']"
